Route,date,flow,Total Number of Dead and Missing,after,deaths_over_cross,ATT
Central Mediterranean Route,2014-02-01,3335,9.0,0.0,0.0026913875598086,1.0698240099249
Central Mediterranean Route,2014-03-01,5550,1.0,0.0,0.0001801477211313,-4.84231478130323
Central Mediterranean Route,2014-04-01,15679,41.0,0.0,0.0026081424936386,-36.6327369653699
Central Mediterranean Route,2014-05-01,14597,299.0,0.0,0.0200725026852846,13.4529738057779
Central Mediterranean Route,2014-06-01,22778,314.0,0.0,0.0135977827819158,12.4124097409424
Central Mediterranean Route,2014-07-01,24107,839.0,0.0,0.0336326465164755,9.33906770061523
Central Mediterranean Route,2014-08-01,25031,616.0,0.0,0.0240184037119351,47.111472198813
Central Mediterranean Route,2014-09-01,26125,813.0,0.0,0.0301804142846536,36.4005891621684
Central Mediterranean Route,2014-10-01,15264,118.0,0.0,0.0076713041217006,30.935676590581
Central Mediterranean Route,2014-11-01,9295,18.0,0.0,0.0019327821325029,28.5796083747677
Central Mediterranean Route,2014-12-01,6732,58.0,0.0,0.008541973490427,9.91906833052463
Central Mediterranean Route,2015-01-01,3615,67.0,0.0,0.0181966322650733,0.0421457548236583
Central Mediterranean Route,2015-02-01,4354,336.0,0.0,0.0716417910447761,-2.89144642934198
Central Mediterranean Route,2015-03-01,2283,53.0,0.0,0.0226883561643835,-13.8472904949393
Central Mediterranean Route,2015-04-01,16061,1480.0,0.0,0.0843737529217262,51.1165405530191
Central Mediterranean Route,2015-05-01,21229,95.0,0.0,0.0044550740949165,13.8458892306064
Central Mediterranean Route,2015-06-01,22886,5.0,0.0,0.0002184264558123,22.0601646962383
Central Mediterranean Route,2015-07-01,23205,206.0,0.0,0.0087992823886207,52.7132187836158
Central Mediterranean Route,2015-08-01,22612,652.0,0.0,0.0280261348005502,51.133336742711
Central Mediterranean Route,2015-09-01,15929,76.0,0.0,0.0047485160887222,-1.61295242814637
Central Mediterranean Route,2015-10-01,8916,163.0,0.0,0.0179535191100341,-23.6323178002003
Central Mediterranean Route,2015-11-01,3219,8.0,0.0,0.0024790827393864,-28.6568218695701
Central Mediterranean Route,2015-12-01,9637,8.0,0.0,0.0008294453084499,14.1586536767167
Central Mediterranean Route,2016-01-01,5273,90.0,0.0,0.0167816520604139,-1.93256600227626
Central Mediterranean Route,2016-02-01,3828,7.0,0.0,0.001825293350717,-7.89671388883822
Central Mediterranean Route,2016-03-01,9675,258.0,0.0,0.0259740259740259,40.5760147752142
Central Mediterranean Route,2016-04-01,9149,611.0,0.0,0.0626024590163934,68.4941621225255
Central Mediterranean Route,2016-05-01,19957,1130.0,0.0,0.0535875183762507,256.502265731552
Central Mediterranean Route,2016-06-01,22344,388.0,0.0,0.0170684497624494,300.040943656317
Central Mediterranean Route,2016-07-01,23498,208.0,0.0,0.0087741500042183,321.330675728421
Central Mediterranean Route,2016-08-01,21294,40.0,0.0,0.0018749414080809,279.204006017154
Central Mediterranean Route,2016-09-01,16979,341.0,0.0,0.0196882217090069,203.378268075153
Central Mediterranean Route,2016-10-01,27390,431.0,0.0,0.0154918946119837,388.666478711773
Central Mediterranean Route,2016-11-01,13554,703.0,0.0,0.0493091113137406,143.714391931477
Central Mediterranean Route,2016-12-01,8435,367.0,0.0,0.0416950693024312,54.7319896976002
Central Mediterranean Route,2017-01-01,4470,225.0,0.0,0.047923322683706,-15.0307249368774
Central Mediterranean Route,2017-02-01,8882,217.0,0.0,0.0238487745906143,61.4644524971393
Western African Route,2014-06-01,26,29.0,0.0,0.5272727272727272,2.14216740127664
Western African Route,2014-07-01,22,0.0,0.0,0.0,2.29115791325099
Western African Route,2014-08-01,7,0.0,0.0,0.0,3.60452738905538
Western African Route,2014-09-01,17,0.0,0.0,0.0,0.816632136387064
Western African Route,2014-10-01,7,0.0,0.0,0.0,-2.60094531392849
Western African Route,2014-11-01,32,0.0,0.0,0.0,-1.96391480919344
Western African Route,2014-12-01,45,0.0,0.0,0.0,-8.09465694436246
Western African Route,2015-01-01,23,0.0,0.0,0.0,-4.09626405807446
Western African Route,2015-02-01,0,0.0,0.0,0.0,-3.48050368115557
Western African Route,2015-03-01,13,41.0,0.0,0.7592592592592593,-0.227790674763373
Western African Route,2015-04-01,3,0.0,0.0,0.0,1.45474655604867
Western African Route,2015-05-01,74,0.0,0.0,0.0,1.9856109020641
Western African Route,2015-06-01,37,0.0,0.0,0.0,1.80936243156194
Western African Route,2015-07-01,34,0.0,0.0,0.0,2.44823330274417
Western African Route,2015-08-01,32,0.0,0.0,0.0,-5.24044595441502
Western African Route,2015-09-01,162,0.0,0.0,0.0,-2.26441115008985
Western African Route,2015-10-01,264,0.0,0.0,0.0,-3.9048477314409
Western African Route,2015-11-01,48,3.0,0.0,0.0588235294117647,-5.76654215552506
Western African Route,2015-12-01,184,38.0,0.0,0.1711711711711711,-6.17070377977387
Western African Route,2016-01-01,45,0.0,0.0,0.0,0.0365140976696463
Western African Route,2016-02-01,42,92.0,0.0,0.6865671641791045,2.47365555332454
Western African Route,2016-03-01,75,0.0,0.0,0.0,-9.91541958968361
Western African Route,2016-04-01,2,0.0,0.0,0.0,-6.43491633288705
Western African Route,2016-05-01,109,77.0,0.0,0.4139784946236559,-0.959263120840094
Western African Route,2016-06-01,57,0.0,0.0,0.0,1.30410522910647
Western African Route,2016-07-01,0,0.0,0.0,0.0,-3.55048635580341
Western African Route,2016-08-01,64,0.0,0.0,0.0,0.113451721738178
Western African Route,2016-09-01,80,0.0,0.0,0.0,2.23287609526803
Western African Route,2016-10-01,35,0.0,0.0,0.0,0.925635324414838
Western African Route,2016-11-01,74,0.0,0.0,0.0,-0.233926653761036
Western African Route,2016-12-01,88,0.0,0.0,0.0,1.36635930860081
Western African Route,2017-01-01,14,0.0,0.0,0.0,1.70354143205207
Western African Route,2017-02-01,60,0.0,0.0,0.0,0.480711392287836
Western Mediterranean Route,2014-02-01,487,15.0,0.0,0.0298804780876494,1.54490148021862
Western Mediterranean Route,2014-03-01,799,0.0,0.0,0.0,5.58261937407935
Western Mediterranean Route,2014-04-01,252,0.0,0.0,0.0,0.289269097629782
Western Mediterranean Route,2014-05-01,887,0.0,0.0,0.0,3.89510735080788
Western Mediterranean Route,2014-06-01,274,4.0,0.0,0.014388489208633,-5.82542767932399
Western Mediterranean Route,2014-07-01,358,0.0,0.0,0.0,-4.21005412897336
Western Mediterranean Route,2014-08-01,1887,0.0,0.0,0.0,5.22943094253418
Western Mediterranean Route,2014-09-01,490,0.0,0.0,0.0,-4.43075019198536
Western Mediterranean Route,2014-10-01,558,8.0,0.0,0.0141342756183745,-2.73491325416063
Western Mediterranean Route,2014-11-01,297,0.0,0.0,0.0,-3.31717139776559
Western Mediterranean Route,2014-12-01,557,32.0,0.0,0.0543293718166383,0.0758828629679001
Western Mediterranean Route,2015-01-01,474,15.0,0.0,0.0306748466257668,1.78936856236225
Western Mediterranean Route,2015-02-01,178,0.0,0.0,0.0,-1.52455415732736
Western Mediterranean Route,2015-03-01,333,0.0,0.0,0.0,0.358026499432594
Western Mediterranean Route,2015-04-01,408,0.0,0.0,0.0,-6.31153321816181
Western Mediterranean Route,2015-05-01,700,1.0,0.0,0.0014265335235378,-2.14877442856029
Western Mediterranean Route,2015-06-01,621,22.0,0.0,0.0342146189735614,-4.13562789990582
Western Mediterranean Route,2015-07-01,560,0.0,0.0,0.0,-6.68413205334505
Western Mediterranean Route,2015-08-01,469,8.0,0.0,0.0167714884696016,-8.1428962450531
Western Mediterranean Route,2015-09-01,651,3.0,0.0,0.0045871559633027,-2.00598477213627
Western Mediterranean Route,2015-10-01,1209,50.0,0.0,0.0397140587768069,3.648819766481
Western Mediterranean Route,2015-11-01,727,1.0,0.0,0.0013736263736263,-9.01578009691987
Western Mediterranean Route,2015-12-01,674,2.0,0.0,0.0029585798816568,-6.62504968083472
Western Mediterranean Route,2016-01-01,675,5.0,0.0,0.0073529411764705,0.799724909440605
Western Mediterranean Route,2016-02-01,289,2.0,0.0,0.0068728522336769,-1.52445441623838
Western Mediterranean Route,2016-03-01,444,21.0,0.0,0.0451612903225806,-5.99091873615121
Western Mediterranean Route,2016-04-01,533,9.0,0.0,0.0166051660516605,0.538003898538298
Western Mediterranean Route,2016-05-01,561,48.0,0.0,0.0788177339901477,0.195737309209026
Western Mediterranean Route,2016-06-01,900,1.0,0.0,0.0011098779134295,4.32416471192357
Western Mediterranean Route,2016-07-01,554,11.0,0.0,0.0194690265486725,0.373784957431702
Western Mediterranean Route,2016-08-01,1016,19.0,0.0,0.0183574879227053,5.86628904517711
Western Mediterranean Route,2016-09-01,1417,0.0,0.0,0.0,10.0858359473091
Western Mediterranean Route,2016-10-01,1499,4.0,0.0,0.0026613439787092,11.6739408936842
Western Mediterranean Route,2016-11-01,909,1.0,0.0,0.001098901098901,4.79191827015648
Western Mediterranean Route,2016-12-01,1193,7.0,0.0,0.0058333333333333,8.15338199041793
Western Mediterranean Route,2017-01-01,1086,28.0,0.0,0.0251346499102333,6.71887558770721
Western Mediterranean Route,2017-02-01,1388,13.0,0.0,0.0092790863668807,10.3431977837691
Eastern Mediterranean Route,2014-01-01,1212,12.0,0.0,0.0098039215686274,-7.44504500245255
Eastern Mediterranean Route,2014-02-01,1339,0.0,0.0,0.0,-7.67959957082346
Eastern Mediterranean Route,2014-03-01,1644,9.0,0.0,0.0054446460980036,-0.814798043279126
Eastern Mediterranean Route,2014-04-01,2030,9.0,0.0,0.0044139283962726,-5.54000087822558
Eastern Mediterranean Route,2014-05-01,2506,30.0,0.0,0.0118296529968454,-4.1020418705008
Eastern Mediterranean Route,2014-06-01,4231,0.0,0.0,0.0,-5.18485070807614
Eastern Mediterranean Route,2014-07-01,5433,25.0,0.0,0.0045804323928178,-12.0771770116073
Eastern Mediterranean Route,2014-08-01,8046,0.0,0.0,0.0,-8.37903552296565
Eastern Mediterranean Route,2014-09-01,8860,0.0,0.0,0.0,-8.9429925802392
Eastern Mediterranean Route,2014-10-01,8460,6.0,0.0,0.0007087172218284,-9.36320089165478
Eastern Mediterranean Route,2014-11-01,4374,4.0,0.0,0.0009136592051164,-6.41398059310768
Eastern Mediterranean Route,2014-12-01,2699,9.0,0.0,0.0033234859675036,-5.7594927060025
Eastern Mediterranean Route,2015-01-01,2200,0.0,0.0,0.0,-3.91459342845228
Eastern Mediterranean Route,2015-02-01,3332,9.0,0.0,0.0026938042502244,-0.424607918766019
Eastern Mediterranean Route,2015-03-01,8620,8.0,0.0,0.000927213722763,-1.06751367936013
Eastern Mediterranean Route,2015-04-01,14566,14.0,0.0,0.0009602194787379,2.19488682769419
Eastern Mediterranean Route,2015-05-01,20213,0.0,0.0,0.0,3.72836559381927
Eastern Mediterranean Route,2015-06-01,33399,6.0,0.0,0.0001796138302649,-0.545867301015294
Eastern Mediterranean Route,2015-07-01,57371,24.0,0.0,0.000418154891541,-5.02338893931574
Eastern Mediterranean Route,2015-08-01,112212,29.0,0.0,0.0002583726089396,4.95617830191183
Eastern Mediterranean Route,2015-09-01,149563,190.0,0.0,0.0012687558846901,5.20670211256824
Eastern Mediterranean Route,2015-10-01,216260,220.0,0.0,0.0010162601626016,46.5577431598659
Eastern Mediterranean Route,2015-11-01,155558,98.0,0.0,0.000629593462507,19.6289565817889
Eastern Mediterranean Route,2015-12-01,112092,206.0,0.0,0.001834404886997,0.560875671420145
Eastern Mediterranean Route,2016-01-01,68581,275.0,0.0,0.0039938422214476,-0.539303945392139
Eastern Mediterranean Route,2016-02-01,58043,46.0,0.0,0.0007918883093184,-1.63308117961549
Eastern Mediterranean Route,2016-03-01,27343,45.0,1.0,0.0016430553527092,-56.8081538276885
Eastern Mediterranean Route,2016-04-01,4324,10.0,1.0,0.002307337332718,-66.8274670929641
Eastern Mediterranean Route,2016-05-01,2285,0.0,0.0,0.0,-66.1034148421133
Eastern Mediterranean Route,2016-06-01,2195,0.0,0.0,0.0,-65.1665729311351
Eastern Mediterranean Route,2016-07-01,2420,7.0,1.0,0.0028842192006592,-54.1888455114921
Eastern Mediterranean Route,2016-08-01,4401,3.0,1.0,0.0006811989100817,-58.9483689990068
Eastern Mediterranean Route,2016-09-01,3679,27.0,1.0,0.0072854830005396,-58.6734490039413
Eastern Mediterranean Route,2016-10-01,4195,2.0,1.0,0.0004765308553728,-65.2434725755654
Eastern Mediterranean Route,2016-11-01,2680,14.0,1.0,0.0051967334818114,-65.5722718005499
Eastern Mediterranean Route,2016-12-01,2131,5.0,1.0,0.0023408239700374,-69.9033169337781
Eastern Mediterranean Route,2017-01-01,1826,1.0,1.0,0.0005473453749315,-72.7367415109678
Eastern Mediterranean Route,2017-02-01,1601,1.0,1.0,0.0006242197253433,
